timestamp;marker_id;detected;center_x_px;center_y_px;offset_x_px;offset_y_px;offset_x_norm;offset_y_norm;distance_m;tvec_x;tvec_y;tvec_z;roll_deg;pitch_deg;yaw_deg;fps
0.55;72;0;;;;;;;;;;;;;;0.0
0.59;72;0;;;;;;;;;;;;;;36.8
0.601;72;0;;;;;;;;;;;;;;60.3
0.612;72;0;;;;;;;;;;;;;;78.9
0.625;72;0;;;;;;;;;;;;;;94.2
0.645;72;0;;;;;;;;;;;;;;106.2
0.678;72;0;;;;;;;;;;;;;;121.7
0.726;72;0;;;;;;;;;;;;;;134.5
0.758;72;0;;;;;;;;;;;;;;143.9
0.791;72;0;;;;;;;;;;;;;;154.5
0.822;72;0;;;;;;;;;;;;;;160.8
0.854;72;0;;;;;;;;;;;;;;168.8
0.885;72;0;;;;;;;;;;;;;;175.8
0.917;72;0;;;;;;;;;;;;;;184.1
0.949;72;0;;;;;;;;;;;;;;192.1
0.98;72;0;;;;;;;;;;;;;;199.5
1.012;72;0;;;;;;;;;;;;;;207.8
1.044;72;0;;;;;;;;;;;;;;215.6
1.076;72;0;;;;;;;;;;;;;;222.4
1.108;72;0;;;;;;;;;;;;;;228.1
1.141;72;0;;;;;;;;;;;;;;234.9
1.171;72;0;;;;;;;;;;;;;;240.7
1.205;72;0;;;;;;;;;;;;;;247.2
1.237;72;0;;;;;;;;;;;;;;251.3
1.268;72;0;;;;;;;;;;;;;;254.9
1.349;72;0;;;;;;;;;;;;;;260.1
1.364;72;0;;;;;;;;;;;;;;263.4
1.38;72;0;;;;;;;;;;;;;;266.0
1.413;72;0;;;;;;;;;;;;;;270.1
1.444;72;0;;;;;;;;;;;;;;272.5
1.476;72;0;;;;;;;;;;;;;;276.0
1.509;72;0;;;;;;;;;;;;;;357.9
1.541;72;0;;;;;;;;;;;;;;373.2
1.573;72;0;;;;;;;;;;;;;;383.2
1.604;72;0;;;;;;;;;;;;;;390.7
1.637;72;0;;;;;;;;;;;;;;402.6
1.669;72;0;;;;;;;;;;;;;;400.2
1.733;72;0;;;;;;;;;;;;;;400.7
1.765;72;0;;;;;;;;;;;;;;403.9
1.797;72;0;;;;;;;;;;;;;;406.1
1.838;72;1;432.0;407.5;112.0;167.5;0.35;0.6979;0.344;0.069;0.1012;0.3219;161.64;-40.14;27.42;411.8
1.877;72;1;435.8;416.2;115.8;176.2;0.3617;0.7344;0.347;0.0713;0.1066;0.3222;163.12;-36.05;27.19;365.9
1.909;72;0;;;;;;;;;;;;;;365.3
1.929;72;0;;;;;;;;;;;;;;363.2
1.946;72;0;;;;;;;;;;;;;;363.2
1.972;72;0;;;;;;;;;;;;;;358.9
2.005;72;0;;;;;;;;;;;;;;355.4
2.037;72;0;;;;;;;;;;;;;;353.4
2.069;72;0;;;;;;;;;;;;;;350.5
2.134;72;1;446.0;416.5;126.0;176.5;0.3937;0.7354;0.333;0.0742;0.1024;0.3081;172.88;-31.13;22.13;348.5
2.166;72;1;448.2;408.8;128.2;168.8;0.4008;0.7031;0.338;0.0768;0.0996;0.3137;172.5;-28.86;21.6;341.2
2.197;72;1;450.0;402.8;130.0;162.8;0.4062;0.6781;0.332;0.0766;0.0946;0.3089;172.38;-28.83;22.39;335.6
2.23;72;1;452.2;397.8;132.2;157.8;0.4133;0.6573;0.335;0.0787;0.0926;0.312;172.18;-27.65;22.3;329.5
2.261;72;1;454.2;394.5;134.2;154.5;0.4195;0.6438;0.333;0.0795;0.0903;0.3104;171.62;-30.07;22.95;326.1
2.294;72;1;458.8;389.8;138.8;149.8;0.4336;0.624;0.341;0.0841;0.0897;0.3181;172.9;-26.38;21.45;326.1
2.325;72;1;462.5;384.5;142.5;144.5;0.4453;0.6021;0.342;0.0866;0.0869;0.3196;172.94;-21.81;20.82;321.0
2.357;72;1;469.2;380.0;149.2;140.0;0.4664;0.5833;0.35;0.0924;0.086;0.3261;175.49;-18.59;20.26;319.6
2.389;72;1;477.0;378.5;157.0;138.5;0.4906;0.5771;0.35;0.0971;0.085;0.3258;174.47;-18.18;19.35;320.1
2.437;72;1;481.0;376.2;161.0;136.2;0.5031;0.5677;0.354;0.1004;0.0844;0.3291;174.91;-14.7;17.76;317.2
2.47;72;1;483.0;374.0;163.0;134.0;0.5094;0.5583;0.356;0.1021;0.0835;0.331;176.14;-11.25;16.29;317.9
